iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,time
0,0.145849161464,0.138370360226,0.37106918239,0.430555555556,0.000699230999999
10,0.143847501498,0.137877096022,0.377358490566,0.445833333333,0.00771174400001
20,0.15826044289,0.144910467257,0.358490566038,0.435416666667,0.014653083
30,0.162740811237,0.145957062114,0.358490566038,0.429861111111,0.021577107
40,0.171347628797,0.151439091498,0.345911949686,0.43125,0.028488629
50,0.169329147311,0.150347963001,0.352201257862,0.426388888889,0.035404321
60,0.17387912779,0.154046997865,0.339622641509,0.414583333333,0.042335401
70,0.17779654747,0.155762945166,0.314465408805,0.404166666667,0.0492744970001
80,0.179604461274,0.157261782056,0.301886792453,0.395138888889,0.0574767600001
90,0.17790773602,0.158013129702,0.314465408805,0.397916666667,0.0644835020001
100,0.175015174501,0.156431592383,0.358490566038,0.408333333333,0.0714334980001
110,0.176173238018,0.157464647553,0.352201257862,0.403472222222,0.0783722720001
120,0.167422194923,0.15209410195,0.333333333333,0.396527777778,0.0852991840001
130,0.165912355809,0.151625734305,0.327044025157,0.409722222222,0.0921741600001
140,0.164642972776,0.150543146303,0.320754716981,0.406944444444,0.0991119720001
150,0.165328753057,0.151723761869,0.333333333333,0.403472222222,0.106040168
160,0.160876102187,0.149067379438,0.352201257862,0.408333333333,0.113012602
170,0.159779152337,0.148578506512,0.364779874214,0.416666666667,0.119957147
180,0.158905472083,0.147745839899,0.358490566038,0.41875,0.126848791
190,0.14319813423,0.135221630729,0.421383647799,0.448611111111,0.133743
200,0.1419435744,0.133914788522,0.446540880503,0.461111111111,0.140681455
210,0.140703483175,0.133479053951,0.440251572327,0.4625,0.147671523
220,0.137163076384,0.130056538867,0.459119496855,0.490972222222,0.154640113
230,0.134936625989,0.130008852083,0.477987421384,0.490972222222,0.161635313
240,0.131708174149,0.129414407223,0.496855345912,0.4875,0.168575049
250,0.125571280767,0.125692400591,0.553459119497,0.534722222222,0.175620262
260,0.124781383733,0.124715367627,0.540880503145,0.541666666667,0.182521202
270,0.118259891411,0.121372954887,0.572327044025,0.5625,0.19050225
280,0.114963897375,0.118833771135,0.566037735849,0.579861111111,0.198295748
290,0.113972770227,0.11861125125,0.584905660377,0.584722222222,0.206394139
300,0.113953705421,0.11854571976,0.584905660377,0.586111111111,0.215181179
310,0.111417001513,0.117790822556,0.647798742138,0.601388888889,0.222889716
320,0.109171100808,0.116578459646,0.622641509434,0.611805555556,0.230643457
330,0.108666824672,0.11540225482,0.62893081761,0.625,0.238387581
340,0.106395429628,0.115216779415,0.660377358491,0.616666666667,0.24622404
350,0.105852186274,0.114978323183,0.654088050314,0.61875,0.254187776
360,0.107822939966,0.115603602363,0.647798742138,0.618055555556,0.261992173
370,0.105303665936,0.114645239184,0.660377358491,0.620138888889,0.269812601
380,0.104019172885,0.114149118048,0.679245283019,0.625694444444,0.277570193
390,0.10326073594,0.114564878217,0.691823899371,0.620833333333,0.285235129
400,0.102955194942,0.114071570925,0.679245283019,0.625694444444,0.292962901
410,0.100245548021,0.112611644994,0.691823899371,0.642361111111,0.300842318
420,0.0982393041308,0.111483906459,0.723270440252,0.645833333333,0.308564
430,0.0942968228683,0.108837874908,0.767295597484,0.665277777778,0.316381221
440,0.0938538066157,0.108564732908,0.761006289308,0.665277777778,0.324059619
450,0.0945929210694,0.108935548669,0.761006289308,0.655555555556,0.331816886
460,0.0935210851303,0.108734598104,0.761006289308,0.6625,0.339481502
470,0.0933073505726,0.108734996245,0.761006289308,0.661805555556,0.347253517
480,0.091388418355,0.107682328558,0.77358490566,0.6625,0.354957887
490,0.0904619968844,0.107309967718,0.77358490566,0.668055555556,0.362601984
500,0.0898748953992,0.106849754143,0.779874213836,0.670833333333,0.370300584
510,0.0896285349456,0.106213553021,0.767295597484,0.669444444444,0.377994053
520,0.0889735791516,0.106259060112,0.786163522013,0.66875,0.386990126
530,0.0929989941641,0.108580953719,0.723270440252,0.648611111111,0.394670773
540,0.0891315804857,0.106192079444,0.77358490566,0.665277777778,0.402386686
550,0.0868531859038,0.104914384477,0.767295597484,0.681944444444,0.410083682
560,0.0868003423685,0.104802302194,0.77358490566,0.682638888889,0.41778741
570,0.0861785542597,0.104525342378,0.77358490566,0.682638888889,0.425484403
580,0.0860525819971,0.10444662183,0.767295597484,0.684027777778,0.433227886
590,0.0859303768439,0.104390551954,0.77358490566,0.681944444444,0.440953415
600,0.0853458624966,0.10442238745,0.767295597484,0.674305555556,0.448647526
610,0.0851606012678,0.104335390199,0.767295597484,0.676388888889,0.456454809
620,0.0847841743672,0.104297407399,0.761006289308,0.673611111111,0.464150202
630,0.0843765803546,0.104326137169,0.767295597484,0.677777777778,0.471899777
640,0.0843184379809,0.104401884536,0.77358490566,0.677777777778,0.479654801
650,0.0841793683635,0.103608027411,0.767295597484,0.690972222222,0.487373597
660,0.0836685116721,0.103217763543,0.761006289308,0.688194444444,0.495140484
670,0.083312617888,0.103410929736,0.77358490566,0.684722222222,0.502837159
680,0.0826757959495,0.102741342032,0.77358490566,0.688888888889,0.510782941
690,0.0820318777902,0.103436615502,0.77358490566,0.690277777778,0.518695702
700,0.0811565809255,0.103474741428,0.767295597484,0.689583333333,0.526632508
710,0.0802826084923,0.10256455862,0.77358490566,0.692361111111,0.534614839
720,0.0791077609338,0.102907505594,0.77358490566,0.688194444444,0.542673153
730,0.0789455075603,0.102838195073,0.77358490566,0.688888888889,0.550684339
740,0.0791702422866,0.10246755603,0.779874213836,0.685416666667,0.558736562
750,0.0784227509304,0.10308300249,0.786163522013,0.690972222222,0.566916063
760,0.0779796414649,0.102977297004,0.779874213836,0.694444444444,0.575185334
770,0.0771271385138,0.102437227493,0.792452830189,0.695138888889,0.583377338
780,0.0767969761156,0.102836288878,0.805031446541,0.693055555556,0.59150394
790,0.0766195612195,0.102717079104,0.792452830189,0.69375,0.599606174
800,0.0762151324473,0.102465510645,0.805031446541,0.693055555556,0.607817414
810,0.0756279220201,0.101740721276,0.805031446541,0.697916666667,0.61628161
820,0.0752021205952,0.101843354284,0.811320754717,0.697916666667,0.62467848
830,0.0758962599719,0.102138425966,0.792452830189,0.698611111111,0.633034311
840,0.0750980324359,0.101747343354,0.811320754717,0.701388888889,0.641007665
850,0.0747670920206,0.102109308786,0.805031446541,0.7,0.649026546
860,0.0744629209235,0.101465819208,0.792452830189,0.695833333333,0.657012404
870,0.074257323144,0.101302816518,0.798742138365,0.69375,0.665096365
880,0.0740980487875,0.101383406628,0.811320754717,0.692361111111,0.673024834
890,0.074022439612,0.10121447934,0.805031446541,0.691666666667,0.680994981
900,0.0731514526628,0.100340483479,0.817610062893,0.699305555556,0.688970259
910,0.0729968152265,0.100429505233,0.817610062893,0.700694444444,0.697008374
920,0.0724552273534,0.10047106661,0.817610062893,0.697222222222,0.705033666
930,0.0719659620856,0.100471233843,0.817610062893,0.700694444444,0.713007982
940,0.0714761184918,0.100331881266,0.811320754717,0.699305555556,0.720984542
950,0.070882060907,0.0998072462089,0.805031446541,0.696527777778,0.728950205
960,0.0708621590345,0.0996647298714,0.830188679245,0.695138888889,0.736893423
970,0.0707365657934,0.099793508268,0.811320754717,0.698611111111,0.745003997
980,0.0707356365952,0.0997957504487,0.811320754717,0.698611111111,0.753041791
990,0.069793159199,0.100121713482,0.823899371069,0.698611111111,0.76107734
1000,0.0695953685254,0.100127072156,0.830188679245,0.7,0.769103271
1010,0.0696830301489,0.100772098475,0.830188679245,0.697916666667,0.777146519
1020,0.0695024758901,0.100074892573,0.830188679245,0.7,0.78515578
1030,0.0685956848514,0.099979649765,0.823899371069,0.7,0.793199989
1040,0.0683382224176,0.0999665601883,0.823899371069,0.7,0.80120444
1050,0.0679424598159,0.0999201698258,0.823899371069,0.704861111111,0.809272691
1060,0.0679039219214,0.0999096833433,0.811320754717,0.704166666667,0.817268809
1070,0.0678970003204,0.099911816154,0.811320754717,0.704166666667,0.825300511
1080,0.0725968495248,0.11209036958,0.817610062893,0.670138888889,0.83329246
1090,0.0674062603076,0.100036336228,0.823899371069,0.702777777778,0.841169633
1100,0.0666694208381,0.09996833339,0.823899371069,0.701388888889,0.848992944
1110,0.0684850184721,0.0994713038134,0.823899371069,0.702777777778,0.856811124
1120,0.0661550259251,0.0995973421668,0.830188679245,0.701388888889,0.864631871
1130,0.066940911737,0.0988367567405,0.811320754717,0.70625,0.872501031
1140,0.0652893429392,0.0990524156754,0.823899371069,0.698611111111,0.880308954
1150,0.0647661274424,0.0984851433108,0.823899371069,0.708333333333,0.888177471
1160,0.0650372509465,0.0980065023097,0.811320754717,0.713194444444,0.896049835
1170,0.0639088301217,0.0977265236107,0.817610062893,0.710416666667,0.903875712
1180,0.0634250860824,0.0978079143132,0.823899371069,0.709722222222,0.911787192
1190,0.0632682153465,0.0978149632343,0.823899371069,0.710416666667,0.91965058
1200,0.0633460795145,0.0979808767799,0.823899371069,0.713194444444,0.927473894
1210,0.0630572631981,0.0980413070582,0.817610062893,0.7125,0.935336641
1220,0.0625367185392,0.0978032466392,0.817610062893,0.715972222222,0.943175021
1230,0.0628192501069,0.0982938405873,0.805031446541,0.706944444444,0.951074316
1240,0.0622687469358,0.0978464509032,0.811320754717,0.700694444444,0.958938986
1250,0.0611338137429,0.0980194104315,0.830188679245,0.705555555556,0.967028078
1260,0.0612146016797,0.0984644257674,0.823899371069,0.704166666667,0.974996943
1270,0.0606488144028,0.0983900078276,0.823899371069,0.705555555556,0.983015823
1280,0.0606355680487,0.0983913204306,0.823899371069,0.705555555556,0.990907105
1290,0.0605092728281,0.0980160784669,0.823899371069,0.713194444444,0.998788446
1300,0.0598430527484,0.0982129814214,0.823899371069,0.7125,1.006665622
1310,0.0594439540806,0.0982794887287,0.836477987421,0.7125,1.01451234
1320,0.0594051967215,0.098299400679,0.830188679245,0.711805555556,1.022344308
1330,0.0588010580659,0.0980918790291,0.842767295597,0.713888888889,1.030180766
1340,0.0591691121216,0.0976655039501,0.836477987421,0.710416666667,1.038007925
1350,0.0588051566589,0.0981644597649,0.849056603774,0.710416666667,1.045876442
1360,0.0583675784175,0.0980668081274,0.849056603774,0.715277777778,1.053696867
1370,0.0582430357829,0.0984843180426,0.849056603774,0.713194444444,1.066623191
1380,0.0580615368982,0.0984188967909,0.849056603774,0.711111111111,1.075252176
1390,0.0576590600257,0.0982048478093,0.849056603774,0.713888888889,1.08310723
1400,0.0573147814843,0.0984124324775,0.849056603774,0.715277777778,1.090972223
1410,0.0570789074872,0.0986445430105,0.849056603774,0.711805555556,1.098837856
1420,0.0569594887029,0.0990372049843,0.842767295597,0.715277777778,1.108312264
1430,0.0567350355382,0.0985866037214,0.836477987421,0.713888888889,1.117041916
1440,0.0569047943612,0.0988671501534,0.849056603774,0.7125,1.125075224
1450,0.0563147049586,0.0983104241745,0.836477987421,0.714583333333,1.132966506
1460,0.0559127311603,0.0982196692848,0.836477987421,0.716666666667,1.140933127
1470,0.0558692669031,0.0982417811991,0.836477987421,0.716666666667,1.148733675
1480,0.055814557771,0.0981895023943,0.836477987421,0.715277777778,1.15658616
1490,0.055966117181,0.0983528844378,0.842767295597,0.7125,1.170165869
1500,0.0558829738536,0.0978727707962,0.830188679245,0.715277777778,1.178444115
1510,0.0571421306156,0.0975078970353,0.836477987421,0.716666666667,1.186561738
1520,0.0555524915516,0.0980023369943,0.836477987421,0.716666666667,1.194468726
1530,0.0558767313157,0.0984114338414,0.836477987421,0.715277777778,1.202460995
1540,0.055320418064,0.0980977090621,0.830188679245,0.713194444444,1.21113839
1550,0.0556455998547,0.0977640482594,0.867924528302,0.710416666667,1.219203437
1560,0.0546658050803,0.0980507908153,0.85534591195,0.711111111111,1.227139925
