iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,time
0,0.1307733433,0.130818534574,0.553459119497,0.539583333333,0.1532269
10,0.145655137458,0.140411097755,0.421383647799,0.474305555556,1.655174072
20,0.129814092066,0.124799726551,0.553459119497,0.58125,3.264511135
30,0.208984938312,0.21850596525,0.553459119497,0.532638888889,4.985647318
40,0.133794175297,0.143082955686,0.496855345912,0.506944444444,6.714031336
50,0.139136500724,0.137716236605,0.308176100629,0.34375,8.449913899
60,0.13160032445,0.137421059847,0.572327044025,0.552777777778,10.143898681
70,0.125032227983,0.126840559957,0.540880503145,0.549305555556,11.808766774
80,0.152876741306,0.157678775961,0.553459119497,0.532638888889,13.542499702
90,0.137974010949,0.13609288869,0.465408805031,0.457638888889,15.232923886
100,0.122387991915,0.122956918192,0.559748427673,0.538888888889,16.920898677
110,0.127155490431,0.129561418916,0.51572327044,0.453472222222,18.559438673
120,0.112128613862,0.114816626867,0.660377358491,0.636805555556,20.228138594
130,0.129202413593,0.130023872296,0.477987421384,0.463888888889,21.9118776
140,0.125121393979,0.125942726049,0.547169811321,0.532638888889,23.581942641
150,0.147005935074,0.147588235851,0.553459119497,0.532638888889,25.246212492
160,0.120213394699,0.12256630947,0.578616352201,0.545138888889,26.899598251
170,0.123617605625,0.125602514041,0.553459119497,0.536111111111,28.573258193
180,0.124263461014,0.122561226699,0.528301886792,0.555555555556,30.242057821
190,0.110062898222,0.113895787655,0.666666666667,0.650694444444,31.881049863
200,0.129934851915,0.128301534238,0.490566037736,0.495833333333,33.555720019
210,0.116219978769,0.120554119303,0.622641509434,0.595138888889,35.230859215
220,0.135100051106,0.134249562663,0.452830188679,0.463194444444,36.931001787
230,0.132237058999,0.136793908405,0.48427672956,0.474305555556,38.594350551
240,0.130825170668,0.134075620023,0.559748427673,0.513888888889,40.281354881
250,0.121934922128,0.123058681107,0.566037735849,0.546527777778,41.948413962
260,0.12976737257,0.134537228579,0.553459119497,0.532638888889,43.674663739
270,0.128911077762,0.133535566096,0.553459119497,0.527777777778,45.381517455
