iterations,fitness,time,fevals
0,15932.0,0.648930362,10000
10,17633.0,1.262971288,21000
20,18131.0,1.832770197,32000
30,18169.0,2.357449924,43000
40,18169.0,2.832682993,54000
50,18169.0,3.351928207,65000
60,18169.0,3.828994475,76000
70,18171.0,4.313889826,87000
80,18169.0,4.765242267,98000
90,18169.0,5.25162649,109000
100,18170.0,5.80315369,120000
110,18169.0,6.332109918,131000
120,18169.0,6.814450718,142000
130,18169.0,7.325872299,153000
140,18169.0,7.811565947,164000
150,18165.0,8.318466729,175000
160,18165.0,8.752492594,186000
170,18165.0,9.302645056,197000
180,18170.0,9.857489839,208000
190,18165.0,10.399517623,219000
