iterations,fitness,time,fevals
0,15760.0,0.68460463,10000
10,17611.0,1.252543731,21000
20,18141.0,1.795558967,32000
30,18176.0,2.321159782,43000
40,18176.0,2.807089713,54000
50,18176.0,3.295451084,65000
60,18176.0,3.825218754,76000
70,18176.0,4.35214269,87000
80,18176.0,4.851405146,98000
90,18176.0,5.376606492,109000
100,18171.0,5.930641115,120000
110,18171.0,6.45631631,131000
120,18171.0,6.950129827,142000
130,18171.0,7.449655177,153000
140,18171.0,7.880724777,164000
150,18171.0,8.446950585,175000
160,18171.0,8.944750459,186000
170,18171.0,9.417460716,197000
180,18176.0,9.86637306,208000
190,18171.0,10.39886007,219000
