iterations,fitness,time,fevals
0,3437.16904466,0.021589291,2000
10,3534.82763879,0.04244152,4200
20,3539.07055035,0.05949815,6400
30,3549.03789717,0.074488184,8600
40,3538.94141336,0.088832527,10800
50,3538.94141336,0.103175267,13000
60,3538.94141336,0.117257038,15200
70,3538.94141336,0.131431141,17400
80,3538.94141336,0.145646282,19600
90,3538.94141336,0.159777105,21800
100,3538.94141336,0.175079726,24000
110,3535.65412558,0.189107315,26200
120,3543.88167472,0.206805148,28400
130,3535.65412558,0.220850691,30600
140,3539.07055035,0.235458248,32800
150,3539.76790015,0.249510523,35000
160,3535.65412558,0.263705787,37200
170,3535.65412558,0.277915798,39400
180,3539.07055035,0.293118391,41600
190,3535.65412558,0.307131553,43800
