iterations,fitness,time,fevals
0,14886.0,0.125876083,2000
10,16481.0,0.234344798,4200
20,17088.0,0.334978338,6400
30,17282.0,0.421217521,8600
40,17283.0,0.50508137,10800
50,17303.0,0.593420812,13000
60,17283.0,0.682426464,15200
70,17227.0,0.768045284,17400
80,17310.0,0.845862271,19600
90,17282.0,0.923651366,21800
100,17298.0,1.0099707,24000
110,17303.0,1.099234436,26200
120,17213.0,1.186236971,28400
130,17227.0,1.269425953,30600
140,17227.0,1.352727466,32800
150,17250.0,1.432599828,35000
160,17283.0,1.52201617,37200
170,17303.0,1.608253109,39400
180,17283.0,1.695219096,41600
190,17253.0,1.785589548,43800
