iterations,fitness,time,fevals
0,15229.0,0.120393801,2000
10,16655.0,0.223710133,4200
20,17166.0,0.317980058,6400
30,17351.0,0.41234424,8600
40,17367.0,0.498774501,10800
50,17402.0,0.58044223,13000
60,17385.0,0.668864067,15200
70,17370.0,0.760156568,17400
80,17491.0,0.860463095,19600
90,17453.0,0.949669122,21800
100,17374.0,1.033889799,24000
110,17351.0,1.116627055,26200
120,17351.0,1.200087267,28400
130,17383.0,1.281862719,30600
140,17391.0,1.363972237,32800
150,17484.0,1.444752221,35000
160,17450.0,1.523128337,37200
170,17450.0,1.608113328,39400
180,17467.0,1.694540704,41600
190,17432.0,1.775935281,43800
