iterations,fitness,time,fevals
0,15830.0,0.385919961,6000
10,17565.0,0.731112336,12600
20,18010.0,1.045928701,19200
30,18119.0,1.372987866,25800
40,18119.0,1.658554171,32400
50,18117.0,2.018888546,39000
60,18133.0,2.303908867,45600
70,18120.0,2.538818885,52200
80,18133.0,2.892149403,58800
90,18136.0,3.201840955,65400
100,18136.0,3.501540327,72000
110,18120.0,3.795998188,78600
120,18120.0,4.098777577,85200
130,18120.0,4.426750778,91800
140,18120.0,4.7262206,98400
150,18133.0,5.021438287,105000
160,18128.0,5.328647103,111600
170,18125.0,5.672638826,118200
180,18117.0,5.964768802,124800
190,18133.0,6.318640816,131400
