iterations,fitness,time,fevals
0,11907.0,0.007610113,6505
10,12332.0,0.015072749,11991
20,12618.0,0.022753394,17463
30,12908.0,0.030278227,22932
40,13514.0,0.037863333,28399
50,13462.0,0.045355785,33895
60,14031.0,0.052896328,39373
70,14040.0,0.060495861,44854
80,14434.0,0.068078723,50338
90,14444.0,0.076334527,55782
100,14692.0,0.08380101,61269
110,15199.0,0.091301156,66776
120,14908.0,0.098689092,72265
130,15273.0,0.106257207,77739
140,15403.0,0.113728499,83196
150,15222.0,0.121384458,88689
160,15440.0,0.128940709,94136
170,15521.0,0.136502411,99640
180,15630.0,0.144735772,105129
190,15856.0,0.152221171,110612
200,15980.0,0.159675151,116101
210,15935.0,0.167257051,121561
220,15939.0,0.174713917,126999
230,16481.0,0.182167897,132478
240,16206.0,0.189702989,137968
250,16167.0,0.197277194,143436
260,16291.0,0.205471122,148914
270,16378.0,0.21299852,154385
280,16681.0,0.220450897,159841
290,16337.0,0.227947517,165329
300,16259.0,0.23548325,170823
310,16373.0,0.242981153,176300
320,16377.0,0.250426156,181749
330,16251.0,0.257920211,187213
340,16372.0,0.265626184,192683
350,16626.0,0.27467227,198189
360,16542.0,0.282178508,203675
370,16510.0,0.289666793,209120
380,16625.0,0.297166939,214618
390,16726.0,0.304671895,220105
400,16460.0,0.312225903,225588
410,16693.0,0.319771254,231087
420,16811.0,0.328244425,236567
430,16678.0,0.336181872,242046
440,16696.0,0.343946194,247540
450,16727.0,0.351574581,253055
460,16711.0,0.35940687,258532
470,16797.0,0.367038784,264026
480,16687.0,0.375057664,269505
490,16631.0,0.382803712,274971
500,16737.0,0.390847278,280471
510,16779.0,0.398581784,285956
520,16989.0,0.406378166,291443
530,16902.0,0.413889534,296950
540,16862.0,0.421780494,302428
550,17162.0,0.429378103,307942
560,16952.0,0.437228667,313394
570,17141.0,0.44487084,318863
580,16943.0,0.452496341,324324
590,17141.0,0.460592164,329781
600,17133.0,0.46852929,335246
610,16981.0,0.476235263,340715
620,17032.0,0.484272738,346179
630,17125.0,0.491712291,351645
640,17130.0,0.499261169,357110
650,17091.0,0.506764201,362601
660,17093.0,0.514274607,368071
670,17072.0,0.522283227,373556
680,17091.0,0.530040176,379034
690,17223.0,0.537994615,384498
700,17166.0,0.545710847,389983
710,17050.0,0.553652783,395468
720,17077.0,0.561475454,400947
730,17433.0,0.5693911,406412
740,17171.0,0.576978771,411895
750,17065.0,0.585328511,417378
760,17129.0,0.592969081,422863
770,17113.0,0.601266883,428339
780,17126.0,0.609251458,433829
790,17200.0,0.617376456,439282
800,17199.0,0.625068643,444748
810,17182.0,0.632966656,450234
820,17178.0,0.640634798,455680
830,17214.0,0.648541146,461168
840,17237.0,0.656351314,466623
850,17306.0,0.664750427,472075
860,17173.0,0.672737888,477559
870,17127.0,0.680927969,483019
880,17218.0,0.688867339,488485
890,17190.0,0.696970216,493968
900,17293.0,0.704764674,499443
910,17277.0,0.713572233,504928
920,17315.0,0.721439469,510430
930,17161.0,0.729487524,515910
940,17213.0,0.737185481,521349
950,17156.0,0.745132866,526829
960,17335.0,0.753256582,532320
970,17131.0,0.761324513,537783
980,17189.0,0.769041707,543244
990,17349.0,0.777036542,548701
1000,17185.0,0.784628381,554168
