iterations,fitness,time,fevals
0,3478.93852388,0.071909588,8000
10,3624.49927228,0.136528061,16800
20,3650.43538988,0.198399943,25600
30,3645.97319437,0.249557329,34400
40,3645.97319437,0.29627022,43200
50,3644.51944087,0.348577604,52000
60,3644.51944087,0.400169405,60800
70,3644.51944087,0.449705831,69600
80,3644.51944087,0.495291167,78400
90,3644.51944087,0.549972924,87200
100,3644.51944087,0.598896682,96000
110,3644.51944087,0.6482789,104800
120,3644.51944087,0.694641694,113600
130,3644.51944087,0.745276501,122400
140,3644.51944087,0.791301382,131200
150,3644.51944087,0.839093737,140000
160,3644.51944087,0.883215207,148800
170,3644.51944087,0.928670059,157600
180,3644.51944087,0.975229062,166400
190,3644.51944087,1.026842985,175200
