iterations,fitness,time,fevals
0,15776.0,0.532516185,8000
10,17623.0,0.981190323,16800
20,18111.0,1.422934984,25600
30,18173.0,1.86692193,34400
40,18173.0,2.294487999,43200
50,18173.0,2.684564235,52000
60,18173.0,3.109309012,60800
70,18173.0,3.525411981,69600
80,18173.0,3.948930138,78400
90,18173.0,4.294300447,87200
100,18173.0,4.748742843,96000
110,18173.0,5.200390557,104800
120,18173.0,5.623681407,113600
130,18173.0,6.018754534,122400
140,18173.0,6.389271526,131200
150,18173.0,6.729426935,140000
160,18165.0,7.130513581,148800
170,18165.0,7.549092234,157600
180,18165.0,7.949028883,166400
190,18165.0,8.351637744,175200
