iterations,fitness,time,fevals
0,11619.0,8.33500000003e-06,11
10,11590.0,1.8914e-05,21
20,11956.0,5.0333e-05,31
30,12307.0,6.0272e-05,41
40,12703.0,6.9569e-05,51
50,13293.0,8.2072e-05,61
60,13592.0,9.8422e-05,71
70,13712.0,0.000108361,81
80,13921.0,0.000117979,91
90,14026.0,0.000127918,101
100,14247.0,0.000137857,111
110,14362.0,0.000147475,121
120,14535.0,0.000157093,131
130,14613.0,0.000169597,141
140,14889.0,0.000180818,151
150,14981.0,0.000191077,161
160,15093.0,0.000204542,171
170,15140.0,0.00021448,181
180,15161.0,0.000224418,191
190,15198.0,0.000234037,201
200,15519.0,0.000243655,211
210,15561.0,0.000253594,221
220,15844.0,0.000263212,231
230,15871.0,0.00027283,241
240,16052.0,0.000282448,251
250,16085.0,0.000292386,261
260,16085.0,0.000302324,271
270,16313.0,0.000312262,281
280,16548.0,0.000322201,291
290,16555.0,0.000331819,301
300,16681.0,0.000342079,311
310,16773.0,0.000352338,321
320,16825.0,0.000370612,331
330,16914.0,0.000382154,341
340,16914.0,0.000392093,351
350,16914.0,0.000402032,361
360,16914.0,0.00041165,371
370,16914.0,0.000421268,381
380,16914.0,0.000430886,391
390,16914.0,0.000445314,401
400,16914.0,0.000456855,411
410,16961.0,0.000466473,421
420,16961.0,0.000476091,431
430,16961.0,0.000485389,441
440,16961.0,0.000495327,451
450,16961.0,0.000504945,461
460,16961.0,0.000513921,471
470,16961.0,0.000523219,481
480,16961.0,0.000532837,491
490,16961.0,0.000542134,501
500,16961.0,0.000551752,511
510,16961.0,0.000563614,521
520,16961.0,0.000574835,531
530,16961.0,0.000586056,541
540,16961.0,0.000597277,551
550,16961.0,0.00060946,561
560,17099.0,0.000623566,571
570,17099.0,0.000638634,581
580,17099.0,0.000654343,591
590,17099.0,0.000667487,601
600,17099.0,0.000680952,611
610,17099.0,0.000704997,621
620,17099.0,0.00071718,631
630,17099.0,0.000730645,641
640,17099.0,0.000747958,651
650,17099.0,0.000758858,661
660,17099.0,0.000769438,671
670,17099.0,0.00078098,681
680,17099.0,0.000792201,691
690,17099.0,0.000803422,701
700,17099.0,0.000813681,711
710,17099.0,0.000825544,721
720,17099.0,0.000836445,731
730,17099.0,0.000847666,741
740,17099.0,0.000858567,751
750,17099.0,0.000870109,761
760,17099.0,0.000881651,771
770,17099.0,0.000893193,781
780,17099.0,0.000904093,791
790,17099.0,0.000915314,801
800,17099.0,0.000925894,811
810,17099.0,0.000936794,821
820,17099.0,0.000947374,831
830,17159.0,0.000968534,841
840,17159.0,0.000981358,851
850,17159.0,0.001017906,861
860,17159.0,0.001029127,871
870,17159.0,0.001040669,881
880,17159.0,0.00105189,891
890,17159.0,0.001063111,901
900,17159.0,0.001074974,911
910,17159.0,0.001085554,921
920,17159.0,0.001096134,931
930,17159.0,0.001107034,941
940,17159.0,0.001117614,951
950,17159.0,0.001128194,961
960,17159.0,0.001139095,971
970,17159.0,0.001151919,981
980,17159.0,0.00116282,991
990,17159.0,0.00117372,1001
1000,17159.0,0.001183979,1011
