iterations,fitness,time,fevals
0,68.0,0.011112361,150
1,68.0,0.022792187,450
2,70.0,0.034505035,750
3,77.0,0.04434493,1050
4,79.0,0.053855247,1350
5,76.0,0.063414295,1650
6,82.0,0.072594393,1950
7,85.0,0.081604892,2250
8,84.0,0.090354101,2550
9,87.0,0.100536077,2850
10,85.0,0.108658831,3150
11,89.0,0.118609654,3450
12,92.0,0.126554154,3750
13,91.0,0.134101429,4050
14,93.0,0.145342992,4350
15,94.0,0.152661038,4650
16,95.0,0.160003769,4950
17,98.0,0.170377465,5250
18,98.0,0.177364649,5550
19,98.0,0.184666664,5850
20,99.0,0.195225027,6150
21,99.0,0.202702731,6450
22,99.0,0.208940991,6750
23,99.0,0.218130706,7050
24,99.0,0.228207205,7350
25,99.0,0.234651932,7650
26,99.0,0.240688213,7950
27,99.0,0.246548484,8250
28,99.0,0.252715892,8550
29,99.0,0.261258313,8850
30,99.0,0.267050616,9150
31,99.0,0.272854461,9450
32,99.0,0.278731724,9750
33,99.0,0.284438106,10050
34,99.0,0.292832089,10350
35,99.0,0.299605433,10650
36,99.0,0.306170707,10950
37,99.0,0.312005971,11250
38,99.0,0.317830975,11550
39,100.0,0.327219784,11850
40,99.0,0.333057933,12150
41,99.0,0.339175968,12450
42,100.0,0.345007706,12750
43,100.0,0.351158762,13050
44,100.0,0.360249091,13350
45,100.0,0.36775084,13650
46,100.0,0.376466707,13950
47,100.0,0.382447203,14250
48,100.0,0.388194943,14550
49,99.0,0.394360426,14850
