iterations,fitness,time,fevals
0,61.0,0.0005758,741
10,69.0,0.001004444,1369
20,71.0,0.001420906,1995
30,69.0,0.001828069,2613
40,72.0,0.002237477,3247
50,70.0,0.002647205,3876
60,70.0,0.003055971,4519
70,73.0,0.003483333,5151
80,75.0,0.003899794,5785
90,76.0,0.004422054,6399
100,74.0,0.004820241,7029
110,74.0,0.00519791,7653
120,74.0,0.005570769,8286
130,76.0,0.005942987,8932
140,77.0,0.006326105,9562
150,78.0,0.00671243,10189
160,76.0,0.007095869,10824
170,79.0,0.007477385,11455
180,78.0,0.007851847,12077
190,80.0,0.008232081,12721
200,80.0,0.008595322,13343
210,80.0,0.008961128,13970
220,80.0,0.009324369,14595
230,82.0,0.009691458,15225
240,80.0,0.010733412,15861
250,82.0,0.011086394,16492
260,80.0,0.011435529,17111
270,79.0,0.0118039,17736
280,79.0,0.012165538,18366
290,80.0,0.012522367,18975
300,80.0,0.012880799,19611
310,81.0,0.013234101,20236
320,80.0,0.013596701,20875
330,80.0,0.013948721,21503
340,85.0,0.014303306,22132
350,82.0,0.014660776,22767
360,81.0,0.015026261,23398
370,80.0,0.015409379,24044
380,82.0,0.015792498,24680
390,82.0,0.016196455,25318
400,82.0,0.01656707,25950
410,83.0,0.01693512,26578
420,83.0,0.017310224,27195
430,84.0,0.017683083,27827
440,82.0,0.018056263,28452
450,84.0,0.01841726,29084
460,84.0,0.018787554,29712
470,83.0,0.019159451,30344
480,84.0,0.019529746,30981
490,82.0,0.019888178,31604
500,82.0,0.020264885,32226
510,81.0,0.020636783,32862
520,83.0,0.021009321,33495
530,82.0,0.021390516,34131
540,82.0,0.02176081,34769
550,80.0,0.022147776,35400
560,83.0,0.022514865,36035
570,80.0,0.022884198,36666
580,83.0,0.023255134,37306
590,86.0,0.023632802,37947
600,83.0,0.023999249,38585
610,82.0,0.02437339,39210
620,84.0,0.024747211,39845
630,83.0,0.025130971,40470
640,84.0,0.025499342,41097
650,83.0,0.025864186,41732
660,85.0,0.026236083,42375
670,84.0,0.026604454,43013
680,83.0,0.026986931,43658
690,84.0,0.027373255,44285
700,85.0,0.027758297,44914
710,85.0,0.028120577,45543
720,86.0,0.028474841,46169
730,86.0,0.028839364,46808
740,85.0,0.02920517,47433
750,85.0,0.029568731,48068
760,84.0,0.029921392,48692
770,84.0,0.030280786,49323
780,86.0,0.030647875,49950
790,86.0,0.031007589,50575
800,87.0,0.031365701,51205
810,86.0,0.031737278,51842
820,84.0,0.032105329,52472
830,85.0,0.032465364,53094
840,84.0,0.032831491,53726
850,83.0,0.033196336,54351
860,84.0,0.033572401,54984
870,86.0,0.033936925,55613
880,84.0,0.034316517,56243
890,83.0,0.034683285,56873
900,85.0,0.035052298,57502
910,84.0,0.035430928,58139
920,83.0,0.035803788,58769
930,86.0,0.036179212,59405
940,85.0,0.036558484,60046
950,85.0,0.036939999,60683
960,85.0,0.037315423,61312
970,84.0,0.037698862,61939
980,87.0,0.038080377,62574
990,83.0,0.038464136,63191
1000,85.0,0.038853987,63833
1010,86.0,0.039272372,64471
1020,84.0,0.039701978,65100
1030,84.0,0.040084455,65726
1040,85.0,0.040463086,66356
1050,87.0,0.040832739,66993
1060,84.0,0.041210087,67628
1070,88.0,0.041583588,68244
1080,86.0,0.041957089,68885
1090,88.0,0.042327383,69513
1100,86.0,0.042706654,70154
1110,85.0,0.043105161,70785
1120,85.0,0.043485394,71425
1130,86.0,0.043859216,72059
1140,86.0,0.044239449,72686
1150,86.0,0.0446293,73317
1160,83.0,0.045010174,73949
1170,88.0,0.045395857,74577
1180,85.0,0.04577096,75195
1190,85.0,0.046148948,75823
1200,85.0,0.046517319,76463
1210,82.0,0.04688537,77090
1220,85.0,0.047256626,77713
1230,85.0,0.047634615,78335
1240,85.0,0.048024466,78964
1250,84.0,0.048428745,79593
1260,82.0,0.048817955,80222
1270,82.0,0.049183761,80853
1280,83.0,0.049570727,81479
1290,84.0,0.049935571,82111
1300,81.0,0.050294965,82738
1310,81.0,0.050669748,83381
1320,79.0,0.051103522,84021
1330,80.0,0.051584103,84653
1340,79.0,0.051968825,85280
1350,78.0,0.052340723,85909
1360,80.0,0.052707491,86531
1370,80.0,0.053074259,87160
1380,81.0,0.05344808,87802
1390,79.0,0.053815169,88437
1400,81.0,0.054187707,89057
1410,81.0,0.054564413,89683
1420,81.0,0.05494689,90307
1430,82.0,0.055317184,90930
1440,83.0,0.055691005,91560
1450,80.0,0.056067391,92196
1460,81.0,0.056447624,92824
1470,81.0,0.056823368,93457
1480,79.0,0.057207769,94088
1490,81.0,0.057587361,94718
1500,80.0,0.057967594,95341
1510,84.0,0.058348789,95971
1520,85.0,0.058741525,96610
1530,88.0,0.059124643,97241
1540,87.0,0.059494296,97870
1550,85.0,0.059869079,98499
1560,89.0,0.060242259,99135
1570,88.0,0.060623453,99763
1580,88.0,0.061003365,100389
1590,90.0,0.061385522,101018
1600,92.0,0.061768,101659
1610,89.0,0.062186064,102287
1620,87.0,0.062638753,102931
1630,90.0,0.063034375,103560
1640,91.0,0.063418455,104204
1650,91.0,0.063811833,104846
1660,91.0,0.064201364,105477
1670,91.0,0.064585124,106092
1680,92.0,0.064964716,106716
1690,91.0,0.06532988,107350
1700,91.0,0.06570338,107985
1710,90.0,0.066080728,108617
1720,92.0,0.066463526,109243
1730,92.0,0.066846003,109871
1740,90.0,0.067227519,110502
1750,92.0,0.067610637,111136
1760,91.0,0.068015557,111763
1770,93.0,0.068427529,112383
1780,87.0,0.068931193,113003
1790,90.0,0.069336112,113631
1800,91.0,0.069758343,114268
1810,90.0,0.070143706,114897
1820,92.0,0.070545099,115535
1830,89.0,0.070943927,116159
1840,92.0,0.071332175,116785
1850,90.0,0.072434082,117414
1860,92.0,0.072820407,118042
1870,90.0,0.073202243,118673
1880,91.0,0.073648199,119294
1890,92.0,0.074035165,119933
1900,91.0,0.074388468,120574
1910,92.0,0.074754595,121206
1920,89.0,0.075108539,121826
1930,89.0,0.075478513,122456
1940,89.0,0.075847525,123085
1950,88.0,0.076207881,123713
1960,88.0,0.076568878,124334
1970,85.0,0.076936608,124961
1980,86.0,0.077304017,125595
1990,86.0,0.077679121,126225
2000,85.0,0.078041721,126855
