iterations,fitness,time,fevals
0,67.0,0.005203359,50
1,68.0,0.01038652,150
2,65.0,0.015357763,250
3,73.0,0.02039473,350
4,72.0,0.025224268,450
5,73.0,0.029780333,550
6,75.0,0.034847437,650
7,78.0,0.039009483,750
8,78.0,0.043170568,850
9,78.0,0.047998502,950
10,79.0,0.05188932,1050
11,80.0,0.05577084,1150
12,80.0,0.059473464,1250
13,80.0,0.063114212,1350
14,82.0,0.066597545,1450
15,82.0,0.07007158,1550
16,83.0,0.073448153,1650
17,83.0,0.077782041,1750
18,83.0,0.08143914,1850
19,84.0,0.084820201,1950
20,83.0,0.088126883,2050
21,83.0,0.091324881,2150
22,83.0,0.09469921,2250
23,83.0,0.097852965,2350
24,83.0,0.102047712,2450
25,82.0,0.120438685,2550
26,83.0,0.125854602,2650
27,83.0,0.131862991,2750
28,85.0,0.138174027,2850
29,83.0,0.141962573,2950
30,84.0,0.14539493,3050
31,83.0,0.148846844,3150
32,84.0,0.152195204,3250
33,84.0,0.155282915,3350
34,83.0,0.158452379,3450
35,84.0,0.161974825,3550
36,84.0,0.165305552,3650
37,84.0,0.168762596,3750
38,84.0,0.17209172,3850
39,84.0,0.175748177,3950
40,85.0,0.179171237,4050
41,85.0,0.182479522,4150
42,86.0,0.18625332,4250
43,86.0,0.189660991,4350
44,87.0,0.193035641,4450
45,88.0,0.196394581,4550
46,87.0,0.199581678,4650
47,86.0,0.202708502,4750
48,86.0,0.205796854,4850
49,87.0,0.208771714,4950
