iterations,fitness,time,fevals
0,67.0,0.00318325,3650
10,69.0,0.006152979,6776
20,73.0,0.009164066,9908
30,74.0,0.012079934,13041
40,79.0,0.014954766,16183
50,79.0,0.017811003,19358
60,81.0,0.020729436,22489
70,84.0,0.023630877,25628
80,85.0,0.026535525,28759
90,84.0,0.029351687,31905
100,85.0,0.032071348,35062
110,86.0,0.034801909,38197
120,86.0,0.037542409,41354
130,87.0,0.040602869,44512
140,87.0,0.043399474,47667
150,90.0,0.046171072,50810
160,88.0,0.048885283,53967
170,88.0,0.051568716,57107
180,88.0,0.054385198,60279
190,90.0,0.057071196,63441
200,90.0,0.059678647,66590
210,91.0,0.062847471,69723
220,90.0,0.065564567,72902
230,91.0,0.068294167,76054
240,94.0,0.071131488,79225
250,92.0,0.073816523,82343
260,95.0,0.076413714,85493
270,93.0,0.078984295,88625
280,94.0,0.08155135,91766
290,94.0,0.084312048,94906
300,95.0,0.087444964,98082
310,95.0,0.089913594,101221
320,94.0,0.09241749,104362
330,93.0,0.095021093,107512
340,93.0,0.097625658,110665
350,93.0,0.100310373,113801
360,93.0,0.102850818,116949
370,93.0,0.105504114,120102
380,94.0,0.108061871,123239
390,92.0,0.110645597,126364
400,94.0,0.113146608,129520
410,92.0,0.115902176,132675
420,90.0,0.118471796,135805
430,91.0,0.121036927,138954
440,91.0,0.123577371,142105
450,91.0,0.12614186,145245
460,92.0,0.128682625,148372
470,93.0,0.131309311,151514
480,92.0,0.133834046,154669
490,95.0,0.136342751,157804
500,94.0,0.13890692,160965
510,95.0,0.14143454,164121
520,93.0,0.144048081,167274
530,94.0,0.146854304,170413
540,94.0,0.149493815,173544
550,94.0,0.152009252,176694
560,93.0,0.154549376,179860
570,93.0,0.157111301,183013
580,94.0,0.159740873,186157
590,95.0,0.162313698,189330
600,97.0,0.164857669,192483
610,95.0,0.167405487,195649
620,94.0,0.170006846,198806
630,94.0,0.173179516,201920
640,94.0,0.175805561,205060
650,94.0,0.178290862,208201
660,93.0,0.180801811,211358
670,94.0,0.183262426,214466
680,94.0,0.185740674,217600
690,94.0,0.188185259,220748
700,96.0,0.190750711,223913
710,93.0,0.193195296,227074
720,94.0,0.195689574,230222
730,94.0,0.198106587,233385
740,95.0,0.200540912,236538
750,95.0,0.202957925,239694
760,97.0,0.205412448,242841
770,96.0,0.207804134,245990
780,96.0,0.210208002,249120
790,95.0,0.212591352,252251
800,97.0,0.215012854,255437
810,96.0,0.217431791,258586
820,97.0,0.219877017,261758
830,97.0,0.222374501,264896
840,94.0,0.22484249,268011
850,95.0,0.227295731,271182
860,94.0,0.2297214,274343
870,94.0,0.232187145,277530
880,92.0,0.234696491,280655
890,97.0,0.237372871,283826
900,97.0,0.239940888,286991
910,95.0,0.242440296,290156
920,97.0,0.244961825,293292
930,97.0,0.247495216,296453
940,96.0,0.250010654,299595
950,94.0,0.25326059,302747
960,96.0,0.255829568,305898
970,94.0,0.25828345,309056
980,94.0,0.26075753,312185
990,94.0,0.263255655,315332
1000,97.0,0.26574833,318479
1010,94.0,0.268392329,321639
1020,94.0,0.270889813,324786
1030,95.0,0.273375435,327930
1040,97.0,0.275861377,331084
1050,96.0,0.278325198,334239
1060,94.0,0.280891611,337388
1070,95.0,0.283392942,340534
1080,94.0,0.285866061,343717
1090,93.0,0.288374446,346889
1100,95.0,0.290853335,350031
1110,96.0,0.293338957,353162
1120,93.0,0.295889341,356342
1130,93.0,0.298399649,359488
1140,96.0,0.300892965,362629
1150,93.0,0.303341397,365785
1160,96.0,0.305776363,368953
1170,96.0,0.308213254,372107
1180,96.0,0.310690219,375264
1190,96.0,0.313964841,378412
1200,96.0,0.317195861,381555
1210,95.0,0.320341922,384718
1220,95.0,0.322868901,387887
1230,96.0,0.325362538,391044
1240,95.0,0.328115542,394199
1250,97.0,0.330639957,397338
1260,98.0,0.333077489,400506
1270,94.0,0.335595813,403646
1280,95.0,0.338680959,406810
1290,95.0,0.341270776,409957
1300,97.0,0.343815389,413124
1310,96.0,0.346284019,416274
1320,95.0,0.348752649,419457
1330,97.0,0.351204287,422599
1340,97.0,0.353671635,425752
1350,96.0,0.356160783,428921
1360,96.0,0.358671412,432098
1370,96.0,0.361105737,435208
1380,97.0,0.363558978,438358
1390,97.0,0.366047164,441511
1400,97.0,0.368507458,444659
1410,97.0,0.37100879,447796
1420,97.0,0.373636759,450947
1430,96.0,0.376106671,454093
1440,96.0,0.378522723,457218
1450,97.0,0.380982056,460363
1460,95.0,0.383428885,463512
1470,95.0,0.385912583,466663
1480,96.0,0.388511697,469820
1490,95.0,0.390975518,472958
1500,96.0,0.393432286,476130
1510,96.0,0.395930411,479274
1520,94.0,0.398483038,482408
1530,96.0,0.401035345,485553
1540,95.0,0.403932298,488675
1550,95.0,0.406455109,491841
1560,95.0,0.408984974,495011
1570,95.0,0.411500412,498160
1580,96.0,0.414028674,501271
1590,95.0,0.416578737,504414
1600,96.0,0.419312184,507594
1610,96.0,0.422306279,510755
1620,96.0,0.424779718,513881
1630,95.0,0.427220456,517034
1640,95.0,0.429654782,520129
1650,96.0,0.432133671,523280
1660,96.0,0.434642696,526430
1670,96.0,0.437085358,529600
1680,95.0,0.439495318,532756
1690,96.0,0.441923552,535893
1700,95.0,0.444355633,539044
1710,95.0,0.446858567,542201
1720,95.0,0.449484292,545344
1730,94.0,0.451972479,548482
1740,94.0,0.454435338,551647
1750,95.0,0.456960073,554795
1760,96.0,0.459426458,557945
1770,95.0,0.461904065,561099
1780,94.0,0.464595513,564243
1790,96.0,0.467140125,567407
1800,95.0,0.469706859,570554
1810,94.0,0.472192481,573711
1820,93.0,0.474715934,576858
1830,95.0,0.477195144,580003
1840,95.0,0.479734626,583126
1850,97.0,0.482167028,586259
1860,97.0,0.484616742,589389
1870,97.0,0.487106211,592543
1880,97.0,0.489577727,595709
1890,97.0,0.492030327,598853
1900,96.0,0.494606038,602043
1910,95.0,0.497061203,605203
1920,97.0,0.499548428,608374
1930,96.0,0.502075087,611520
1940,97.0,0.50522243,614686
1950,95.0,0.50765932,617840
1960,96.0,0.510232787,620966
1970,96.0,0.512731874,624113
1980,95.0,0.515165558,627279
1990,95.0,0.517658233,630417
2000,95.0,0.520134236,633568
